n,p,f,x,y,z,a1,a2,a3,a4,b1,b2,b3,b4,c1,c2,c3,c4,g1,g2,l1,l2,l3,l4,e1,e2,cent_price_cor,cent_trans_cor
321,0.6,0.5,17,25,5,1.1,0.28,1.9,0.25,2.2,0.27,4.2,0.17,3.9,0.21,3.7,0.11,0.041,0.9,0.077,1.7,0.065,1.8,0.6,0.8,-0.072,0.191
100,0.7,0.4,18,21,10,3.4,0.15,2.1,0.24,4.5,0.2,4,0.28,3.9,0.2,4.2,0.22,0.164,0.8,0.178,1.9,0.029,1.3,2,2,-0.223,0.328
330,0.8,0.2,30,29,9,1.3,0.11,4,0.22,1.3,0.25,2.5,0.27,1.8,0.23,1.4,0.18,0.013,1.6,0.102,1.9,0.018,1.7,0.7,2.1,0.055,0.159
406,0.7,0.5,26,15,5,1.6,0.16,2.2,0.16,3.2,0.17,3.8,0.14,3,0.17,4.4,0.26,0.143,1,0.162,1.3,0.035,0.9,1.7,1.3,-0.086,0.154
954,0.7,0.5,27,25,9,1.3,0.13,2,0.19,2.1,0.23,2.3,0.26,1.1,0.17,3.8,0.16,0.069,1.2,0.027,0.8,0.096,0.6,0.2,2,-0.095,0.301
740,0.9,0.4,12,14,7,2.5,0.25,2.7,0.26,4.3,0.3,2.7,0.18,1.3,0.18,2.4,0.27,0.022,0.6,0.064,1.1,0.016,0.9,2.2,1,-0.052,0.302
116,0.9,0.4,29,29,10,4.9,0.27,2.5,0.18,1.7,0.3,4.7,0.11,1.4,0.16,5,0.29,0.061,1.6,0.156,1.8,0,0.6,0.7,2.3,-0.231,0.389
348,0.7,0.2,15,21,10,2.3,0.12,1.7,0.25,1.5,0.15,2.7,0.27,4.1,0.16,4.5,0.13,0.053,1,0.027,1.9,0.069,1.1,0.6,1.6,-0.18,0.257
395,0.9,0.2,26,24,10,1.6,0.2,2,0.22,2.8,0.15,4.5,0.11,1.3,0.23,1.4,0.22,0.059,0.7,0.052,1.7,0.015,0.9,1.2,0.5,-0.136,0.243
122,0.8,0.4,13,15,1,3.7,0.1,4.7,0.28,2.4,0.26,2.7,0.27,1,0.13,4.1,0.11,0.144,1.1,0.079,1.6,0.039,1.4,0.5,2.7,-0.026,0.296
755,0.9,0.2,14,15,4,3.2,0.12,2,0.28,3.9,0.21,3.4,0.2,4.8,0.13,1.8,0.12,0.107,1.8,0.012,0.7,0.034,1.2,0.3,1.5,-0.113,0.258
797,0.9,0.4,24,11,4,4.7,0.15,4.9,0.1,4.7,0.2,1.8,0.15,4.1,0.25,2.5,0.12,0.083,2,0.19,2,0.096,1.6,2.7,2.4,-0.016,0.213
328,0.7,0.4,25,23,4,2.6,0.18,1.4,0.23,3.3,0.21,2.6,0.26,1,0.17,2.8,0.13,0.099,1.4,0.101,1.6,0.072,1,0.7,1.8,-0.208,0.273
802,0.6,0.4,30,21,5,4.8,0.29,1.1,0.3,4.2,0.15,1.7,0.28,3.5,0.12,3.7,0.2,0.102,1.4,0.026,1.4,0.022,0.6,0.7,2.7,-0.218,0.322
431,0.8,0.3,11,20,8,2.1,0.25,1.2,0.1,2,0.15,1.7,0.27,1.2,0.16,1.2,0.15,0.188,0.5,0.027,1.1,0.011,2,0.2,0.8,-0.055,0.289
644,0.8,0.5,29,15,9,2.1,0.2,4.2,0.11,2.4,0.28,2.7,0.14,3.3,0.23,2.9,0.24,0.036,1,0.022,0.5,0.074,0.6,2,0.6,-0.076,0.217
577,0.5,0.4,23,13,3,2.8,0.21,4,0.28,3,0.22,1.2,0.22,3.2,0.19,2,0.19,0.016,1.2,0.126,1.6,0.054,1.5,0.6,1.4,-0.017,0.149
662,0.6,0.4,13,22,10,2.3,0.17,4.9,0.26,3.9,0.29,2.2,0.13,4.8,0.25,3.2,0.24,0.136,1,0.091,0.6,0.1,1,1.5,0.7,0.042,0.029
698,0.5,0.5,23,23,3,4.4,0.26,1.7,0.17,2.7,0.1,3.7,0.15,1.2,0.23,4.1,0.19,0.017,1.1,0.06,1,0.027,0.7,1.2,2.3,-0.016,0.255
724,0.7,0.2,23,16,6,1,0.23,1.1,0.25,2.5,0.23,2.3,0.28,1.9,0.2,4.8,0.11,0.161,1.4,0.063,1.2,0.017,1.3,1.2,1.7,-0.07,0.229
804,0.8,0.4,28,14,9,4.9,0.17,2.9,0.13,2.8,0.23,4.3,0.24,4.9,0.16,3.6,0.19,0.185,0.5,0.009,1.7,0.009,1.6,2.1,1.1,0.017,0.357
195,0.7,0.2,24,27,6,3.7,0.2,4.5,0.19,1.8,0.26,3.8,0.25,2.1,0.27,2.6,0.13,0.13,1.5,0.012,1.4,0.008,1.6,2.2,0.8,0.001,0.145
523,0.7,0.3,14,10,9,4.2,0.15,1.4,0.15,3.4,0.26,1.1,0.27,1.5,0.21,2.2,0.2,0.146,1,0.011,0.8,0.055,0.8,2.6,2.5,-0.172,0.422
739,0.8,0.4,15,10,8,4.4,0.3,5,0.16,3,0.15,1.3,0.14,2.4,0.21,2.8,0.22,0.16,1.9,0.136,0.8,0.009,1,2.9,1.6,-0.123,0.293
192,0.6,0.4,17,20,7,1.5,0.16,1.4,0.3,2.4,0.19,2.3,0.19,1.9,0.19,4.7,0.14,0.084,0.6,0.08,0.5,0.029,1,0.2,0.9,0.005,0.027
727,0.5,0.3,29,29,1,4.6,0.22,4.4,0.17,4.3,0.21,5,0.28,3,0.11,1.3,0.27,0.074,0.6,0.197,1.3,0.028,0.7,3,0.8,-0.144,0.213
949,0.6,0.4,21,14,8,3.7,0.2,2,0.18,1.7,0.18,2.6,0.15,3.5,0.11,3.1,0.15,0.055,1,0.061,1.2,0.021,0.9,2.8,2.4,-0.082,0.148
724,0.5,0.2,21,20,4,4.5,0.26,1.3,0.22,4.3,0.21,4.4,0.3,1.4,0.21,2.7,0.28,0.015,1.9,0.169,1.3,0.057,0.8,1.5,1.8,-0.053,0.314
207,0.9,0.4,15,12,6,3.5,0.13,1.8,0.25,4,0.27,1.3,0.29,3.9,0.12,3.5,0.23,0.087,1.4,0.146,0.9,0.021,1.6,0.2,2.9,-0.017,0.25
701,0.7,0.4,23,28,3,2.4,0.14,4.4,0.21,2.6,0.29,1,0.25,4.3,0.15,4.9,0.21,0.118,1.1,0.018,1.6,0.01,1.4,2.1,1.8,-0.017,0.116
273,0.6,0.3,17,19,1,1.6,0.17,4,0.21,1.7,0.13,1.3,0.21,2.7,0.29,1,0.21,0.006,1.7,0.052,1.3,0.077,0.5,1.9,1.5,-0.019,0.318
318,0.8,0.4,28,27,6,1,0.25,4.5,0.16,4.7,0.22,2.1,0.13,1.3,0.29,4.2,0.15,0.008,0.8,0.015,0.7,0.092,1.1,1,1.4,-0.178,0.314
573,0.7,0.3,15,18,8,3.6,0.3,4.8,0.25,4.2,0.16,3.8,0.26,3.3,0.21,2.3,0.22,0.049,0.8,0.129,1.6,0.01,1.5,0.4,2.1,-0.035,0.238
121,0.5,0.3,26,24,4,1.8,0.2,1.1,0.21,4.8,0.21,2.3,0.13,1,0.18,2.1,0.12,0.139,1.8,0.159,1.5,0.013,1.4,2.2,1.4,-0.122,0.307
486,0.5,0.4,19,30,5,4.3,0.17,4.7,0.11,4.2,0.29,3.3,0.25,1.2,0.17,3.1,0.15,0.134,1.8,0.059,1.4,0.076,1.3,1.4,1.6,-0.422,0.493
684,0.6,0.4,13,21,3,4.9,0.14,3.8,0.12,4.1,0.25,4.1,0.16,2.9,0.15,1.1,0.1,0.012,2,0.028,1.8,0.086,0.7,2.8,0.6,-0.03,0.126
209,0.5,0.4,30,24,9,3.2,0.23,2.8,0.15,3,0.19,5,0.27,2.3,0.15,5,0.29,0.184,0.6,0.191,0.6,0.021,1.2,0.4,0.3,-0.069,0.241
196,0.6,0.5,15,17,6,4.2,0.21,3.9,0.24,3.7,0.27,2.5,0.29,2.9,0.23,3.9,0.19,0.173,1.8,0.199,0.9,0.013,0.9,1.3,1.6,-0.268,0.369
801,0.7,0.3,28,26,4,1.8,0.3,1.2,0.24,1.3,0.23,4.5,0.28,4.1,0.24,2.9,0.21,0.108,0.5,0.172,1.5,0.002,1.5,0.8,0.8,-0.002,0.188
395,0.8,0.4,29,21,3,2.8,0.29,3.7,0.26,2.3,0.22,1.6,0.17,1.8,0.26,2,0.23,0.077,0.8,0.027,1.5,0.098,0.8,1.9,1.7,-0.091,0.238
392,0.6,0.4,21,23,5,4.5,0.3,2.8,0.11,2,0.11,2.2,0.28,1.9,0.19,2.9,0.11,0.04,1,0.134,1.6,0.088,1.2,1.1,1.1,-0.095,0.229
585,0.8,0.5,10,18,5,2.9,0.14,3.2,0.17,3.9,0.17,2.5,0.19,4.4,0.26,3.1,0.2,0.07,1,0.133,1.4,0.057,1.8,0.2,2.5,-0.192,0.353
764,0.8,0.2,13,18,2,4.2,0.24,1.5,0.25,2.8,0.2,1.7,0.26,3.9,0.16,1.5,0.28,0.067,1.7,0.061,1.5,0.084,1.4,2.5,2.9,-0.176,0.255
571,0.6,0.3,26,12,10,1.1,0.14,4.6,0.15,4.4,0.18,4.2,0.11,2.9,0.24,4.9,0.15,0.032,1.2,0.045,0.9,0.052,1.9,2.4,0.3,-0.051,0.1
150,0.7,0.3,10,11,10,4,0.12,4.7,0.23,4.9,0.14,4.2,0.23,3.9,0.1,1.7,0.12,0.165,1.7,0.094,1.4,0.094,1.9,1.5,0.8,-0.192,0.411
576,0.9,0.4,24,14,4,1.7,0.17,2,0.26,2.3,0.22,4.2,0.29,4.4,0.2,1.2,0.29,0.02,1.8,0.185,0.8,0.017,1.3,2.7,1.8,-0.148,0.129
794,0.7,0.3,14,22,1,2.2,0.21,3.9,0.24,3,0.12,1.7,0.22,2.9,0.22,2.6,0.17,0.102,0.6,0.174,1.8,0.027,1.4,0.5,0.6,-0.105,0.374
121,0.9,0.4,30,19,10,1.6,0.2,1.9,0.16,4.8,0.19,4.4,0.23,2.9,0.18,2.2,0.22,0.163,0.5,0.069,0.5,0.044,0.7,1,2.1,-0.094,0.379
673,0.8,0.3,22,19,8,3.9,0.28,3.9,0.2,1,0.19,3.7,0.15,4.5,0.14,4.6,0.14,0.059,0.7,0.083,0.7,0.065,1.1,2.3,0.4,-0.126,0.306
751,0.5,0.5,17,26,5,2.5,0.2,2.1,0.14,4.5,0.29,2.6,0.25,2.8,0.12,1.7,0.23,0.193,1.8,0.119,0.8,0.069,1.4,0.7,1,-0.064,0.23
258,0.7,0.3,18,17,1,3.5,0.24,3.1,0.17,4.4,0.11,2.4,0.1,1.3,0.21,3.2,0.13,0.021,1.9,0.196,0.9,0.082,0.7,1.2,0.6,-0.058,0.221
960,0.6,0.4,26,10,1,4.7,0.11,1.4,0.26,2,0.17,3.2,0.14,1.3,0.21,1.4,0.27,0.019,1.4,0.094,1.3,0.099,0.5,2,2.5,-0.146,0.303
494,0.7,0.4,19,12,9,3.6,0.14,3.8,0.12,3.5,0.14,1.1,0.15,4.5,0.3,2.1,0.27,0.072,1.7,0.098,0.9,0.024,0.5,0.7,1.2,-0.152,0.21
152,0.7,0.2,11,21,7,4.8,0.17,2.6,0.27,3.8,0.13,4.5,0.12,3.4,0.23,1.9,0.15,0.104,1.3,0.168,1.6,0.01,0.8,2.5,1.3,-0.201,0.305
253,0.9,0.3,25,14,1,1.9,0.13,3.6,0.15,1.7,0.15,4.9,0.13,4,0.16,3.8,0.29,0.159,1.3,0.122,1.8,0.072,1.1,0.7,1,-0.071,0.239
596,0.7,0.3,28,21,3,2.7,0.22,4.8,0.22,4.6,0.25,3.9,0.27,1.2,0.27,4.6,0.19,0.017,1.9,0.013,1.7,0.075,0.9,1.9,2.2,-0.183,0.264
707,0.8,0.2,29,28,2,2.2,0.1,2.6,0.26,2.2,0.22,3.7,0.12,4.9,0.1,5,0.3,0.016,1.4,0.158,1.6,0.038,1.6,2.4,1.9,-0.041,0.177
336,0.9,0.2,19,13,6,1.8,0.2,4.4,0.12,3.3,0.16,2.1,0.17,1.7,0.14,3.6,0.2,0.052,1.9,0.173,1.9,0.048,0.8,2.2,2.6,-0.167,0.362
914,0.9,0.3,17,11,7,3.7,0.12,4.6,0.18,1.6,0.16,2.5,0.12,1.6,0.29,4.6,0.17,0.126,1.6,0.1,1.1,0.025,1,2.1,2.6,-0.008,0.183
442,0.5,0.4,10,14,5,1.8,0.2,4.8,0.2,2.1,0.24,3,0.3,1,0.17,3.1,0.15,0.112,1.1,0.048,0.9,0.088,1.4,2.9,1.9,0.007,0.281
539,0.5,0.5,18,24,1,1.9,0.2,3.9,0.18,4.3,0.1,3.9,0.29,2.4,0.17,3.3,0.18,0.079,1.1,0.18,0.8,0.096,1.5,0.9,2.1,-0.186,0.344
482,0.9,0.3,17,10,9,1.4,0.12,1.1,0.23,3.9,0.14,2.5,0.12,1.4,0.12,3.4,0.28,0.157,1.8,0.141,1.8,0.002,1.6,1.6,1.2,-0.183,0.307
847,0.7,0.2,24,27,7,4.7,0.22,1.3,0.2,1.2,0.16,4.7,0.16,4.9,0.29,3.3,0.12,0.045,1.1,0.035,0.6,0.038,2,1.2,2.8,-0.185,0.335
337,0.9,0.3,26,14,8,4.2,0.16,4.1,0.23,2.5,0.1,2.5,0.22,3.5,0.14,3.9,0.17,0.169,1.5,0.006,0.5,0.048,0.6,2.7,1.8,-0.1,0.193
613,0.6,0.2,15,26,7,2.4,0.21,4.6,0.24,2.7,0.11,2.3,0.26,3.6,0.12,1.7,0.21,0.017,1.8,0.067,1.7,0.002,1.1,1.6,2.5,-0.061,0.219
220,0.9,0.4,25,14,9,3.1,0.29,1.8,0.29,3.8,0.22,4.3,0.19,1.7,0.1,4,0.13,0.169,1.7,0.009,0.9,0.051,1.9,1.8,1.4,-0.05,0.173
659,0.9,0.2,24,23,2,4,0.28,4.6,0.15,4.6,0.11,3.8,0.22,4.3,0.28,1.1,0.16,0.181,1.7,0.113,1.8,0.007,0.5,2.2,1.4,-0.16,0.438
167,0.5,0.3,22,30,8,2.7,0.21,1.6,0.15,3.1,0.23,4.5,0.28,4.3,0.28,2.3,0.27,0.085,1.5,0.047,0.7,0.1,0.6,2.9,1.8,-0.05,0.178
735,0.8,0.4,30,10,7,3.5,0.29,3.1,0.17,1.2,0.25,1.7,0.23,1.5,0.13,4.4,0.22,0.134,0.5,0.126,1.8,0.016,1.3,1.1,0.5,-0.06,0.225
141,0.6,0.2,17,23,7,2.3,0.2,1.5,0.29,1.1,0.15,3.7,0.29,2.3,0.22,1.8,0.29,0.18,1.7,0.047,0.6,0.089,1,2,0.9,-0.062,0.333
588,0.6,0.2,22,28,4,3.6,0.24,3.2,0.27,2.7,0.3,3.3,0.29,4.6,0.2,2.8,0.28,0.105,1.6,0.103,0.8,0.084,1.8,1.8,0.9,-0.088,0.23
228,0.7,0.3,26,27,8,4.3,0.27,4.7,0.26,4.9,0.11,3,0.27,4.6,0.23,2,0.24,0.169,1.9,0.163,1.1,0.085,0.7,1.3,1.1,-0.127,0.329
363,0.9,0.4,13,20,8,2.8,0.26,4.2,0.25,2,0.17,4.3,0.28,4.2,0.18,3.9,0.21,0.064,0.9,0.183,2,0.027,1.2,1.1,1.4,-0.178,0.291
321,0.9,0.4,21,28,9,2.2,0.12,2.1,0.22,3.1,0.18,2.3,0.26,3.6,0.16,1.3,0.29,0.028,0.5,0.19,1.1,0.09,2,0.8,0.7,-0.36,0.513
901,0.8,0.3,15,14,3,4.3,0.27,1.4,0.18,2,0.24,3.9,0.15,1,0.29,3.4,0.17,0.011,0.7,0.042,1.7,0.003,1.3,2.8,0.4,-0.236,0.414
249,0.8,0.3,25,12,9,1.7,0.26,2.5,0.22,2.3,0.13,2.6,0.18,1.9,0.13,2.4,0.19,0.098,1.6,0.068,1.4,0.017,1.3,0.9,1.2,0.016,0.198
793,0.8,0.4,10,15,2,2.5,0.19,1.8,0.14,2.3,0.23,4.4,0.21,4.6,0.3,2.4,0.27,0.037,1.7,0.189,1,0.01,0.8,1.7,1.8,-0.061,0.2
751,0.8,0.3,19,15,9,4.9,0.15,1.3,0.27,4.3,0.18,2.3,0.13,2.3,0.2,2.5,0.29,0.02,1,0.127,1.3,0.013,1,2.2,2.4,-0.094,0.264
783,0.6,0.2,25,20,3,3.3,0.29,3.7,0.28,4.2,0.15,1,0.18,3.4,0.18,4.5,0.3,0.088,1.1,0.105,0.7,0.007,2,2.8,2.1,-0.186,0.254
500,0.9,0.4,29,10,4,4.2,0.15,3.3,0.2,4.5,0.16,1.1,0.22,4.9,0.23,2.4,0.24,0.114,0.6,0.124,0.7,0.029,1.8,2.4,2.8,-0.054,0.215
504,0.8,0.3,30,25,8,1.5,0.2,1.3,0.18,3.6,0.28,1.6,0.13,1.4,0.25,1,0.26,0.068,1.4,0.172,0.8,0.019,0.7,0.5,2.4,-0.14,0.215
377,0.8,0.5,13,21,3,1.3,0.24,4.4,0.25,1,0.21,1.2,0.12,1.2,0.13,2.2,0.16,0.011,1.8,0.183,1,0.092,0.6,2,1.4,-0.038,0.296
156,0.6,0.4,17,28,10,2.3,0.11,2.9,0.18,4.8,0.2,1.7,0.21,3.6,0.22,3.2,0.15,0.199,1.1,0.055,1.2,0.022,1.8,2.4,1.7,-0.066,0.249
635,0.9,0.5,17,23,9,3.1,0.29,1.4,0.17,2.1,0.25,2.4,0.25,4.3,0.15,1.7,0.12,0.073,1.8,0.108,0.9,0.051,0.5,2.1,1,0.058,0.239
214,0.6,0.4,16,15,1,1.9,0.22,1.5,0.11,1.3,0.17,1.8,0.17,2.1,0.19,2.4,0.15,0.122,1.7,0.104,1.2,0.005,1.9,1.1,0.3,-0.014,0.108
828,0.8,0.3,17,12,3,1.3,0.28,1.2,0.15,2.2,0.11,2.8,0.15,3.7,0.24,1.2,0.29,0.043,1.8,0.2,1.4,0.002,1.3,0.2,2.9,-0.058,0.191
490,0.9,0.3,19,15,3,3.9,0.24,4.3,0.24,1.1,0.25,2.6,0.22,1.6,0.16,2.1,0.14,0.091,1.2,0.139,1.6,0.014,1.8,1.9,0.8,-0.098,0.248
208,0.7,0.4,27,23,2,1.1,0.14,2.3,0.17,2.1,0.12,1.3,0.13,2.7,0.25,3.6,0.14,0.005,1.8,0.081,1.8,0.013,1.6,2.8,0.3,-0.125,0.22
449,0.8,0.3,30,28,7,2.9,0.11,4.9,0.28,3.1,0.14,5,0.13,2.2,0.22,3.2,0.25,0.056,0.5,0.178,1.9,0.022,1.6,1.3,1,0.011,0.029
622,0.6,0.3,28,27,6,4.1,0.3,1.1,0.18,2.4,0.21,3.5,0.28,5,0.25,4.1,0.24,0.109,1,0.191,1.1,0.058,1.7,0.3,0.2,-0.083,0.186
816,0.5,0.5,16,27,2,1.7,0.3,1.5,0.24,4.1,0.21,1.2,0.1,4.1,0.18,3.5,0.12,0.182,1.7,0.026,1.8,0.067,1.9,1.6,0.4,-0.103,0.292
119,0.7,0.5,10,27,5,3.7,0.27,4.5,0.19,2.7,0.22,3.9,0.11,1.9,0.11,3.2,0.11,0.009,1.2,0.048,0.6,0.076,1.8,1.9,0.2,-0.174,0.332
947,0.6,0.4,23,22,10,3.5,0.27,3.3,0.23,1.3,0.16,3.6,0.11,2,0.17,2.5,0.3,0.003,1.3,0.118,0.5,0.001,1.1,1.3,0.4,-0.091,0.22
666,0.7,0.3,10,16,3,2.9,0.28,2.5,0.27,2.7,0.17,1.5,0.2,1,0.24,2.4,0.17,0.084,0.6,0.014,1.4,0.093,1.6,0.1,0.7,-0.076,0.357
115,0.6,0.4,26,20,9,2.4,0.22,2.7,0.21,1.8,0.27,1.2,0.18,4.4,0.17,2.3,0.14,0.157,2,0.154,1.7,0.062,0.9,1.9,2.2,-0.129,0.306
638,0.7,0.5,20,20,2,1,0.26,2.5,0.11,1.1,0.29,4,0.28,2.1,0.13,4.4,0.21,0.194,1.7,0.127,2,0.086,0.6,1.2,2.3,-0.079,0.389
577,0.6,0.4,10,13,9,4.9,0.21,1.6,0.1,3.3,0.22,2.7,0.17,2.9,0.2,2.2,0.24,0.163,0.7,0.161,1.6,0.007,1,0.4,0.8,-0.11,0.319
921,0.6,0.4,13,15,3,4.9,0.1,2.8,0.1,1.1,0.29,3.2,0.27,3.5,0.23,3,0.1,0.026,1.6,0.166,0.9,0.097,1.2,0.8,2.1,-0.24,0.453
774,0.6,0.5,19,13,5,2.5,0.2,4.8,0.22,1.9,0.24,3.8,0.22,4.5,0.11,4.1,0.23,0.156,0.6,0.152,1.5,0.076,1.4,1.6,1.7,-0.198,0.344
820,0.5,0.2,15,28,2,2.7,0.15,2.2,0.13,4.6,0.15,3.6,0.22,2.9,0.29,2.6,0.22,0.003,2,0.019,1,0.04,1.9,2.7,2.4,-0.157,0.283
287,0.5,0.3,14,25,10,2.3,0.25,2,0.19,1.7,0.14,4.3,0.15,4.6,0.25,3.3,0.24,0.034,1.5,0.002,1,0.091,1,1.2,1.3,-0.101,0.325
567,0.8,0.2,17,30,9,2.8,0.11,1.9,0.18,2.6,0.24,2.3,0.2,4.6,0.2,1.8,0.11,0.167,1.6,0.073,0.8,0.089,1.8,1.1,1.7,-0.262,0.358
531,0.6,0.4,16,26,2,2.7,0.12,3.2,0.22,2.4,0.14,1.6,0.2,3.4,0.18,3.9,0.18,0.189,1,0.142,1.2,0.074,0.6,2.1,2.8,-0.212,0.355
424,0.7,0.5,10,12,10,2.3,0.26,2.7,0.15,3,0.13,1.7,0.17,1.3,0.27,3.2,0.16,0.071,0.7,0.077,1.7,0.063,1.9,1.8,2.3,-0.133,0.285
761,0.8,0.2,15,26,9,1.9,0.19,4.6,0.16,2.1,0.2,2.9,0.2,2.9,0.29,2.7,0.13,0.173,0.6,0.012,1.9,0.047,1.3,2.7,1.1,-0.074,0.196
162,0.6,0.5,27,26,5,4,0.29,1,0.12,4.1,0.17,1.4,0.16,1.2,0.13,4.5,0.29,0.152,1.9,0.074,1.2,0.031,1.1,1.5,1.2,0.078,0.255
437,0.5,0.4,17,24,7,3.1,0.23,2.9,0.27,3.3,0.21,5,0.13,4.5,0.21,2.6,0.17,0.148,1.7,0.174,0.8,0.016,1.1,2.6,0.9,0.085,0.179
188,0.7,0.2,19,30,9,3.8,0.15,2.5,0.21,3.5,0.18,4,0.2,2.7,0.22,1.6,0.21,0.009,1.8,0.167,0.5,0.02,0.7,0.8,1.3,-0.015,0.112
545,0.8,0.3,14,29,7,2.5,0.26,1,0.2,4.5,0.3,2.5,0.14,1.1,0.29,1.7,0.29,0.136,1.8,0.053,0.7,0.023,1.8,1.6,2.2,-0.199,0.293
